,Caller Number,Call Time,Call Type,Conversation
3807,+1-617-871-7925,01:50:25,normal,But i'll b going 2 sch on mon. My sis need 2 take smth.
3808,+1-702-945-6911,02:16:00,normal,And whenever you and i see we can still hook up too.
3809,+1-214-266-7825,03:42:52,normal,Not from this campus. Are you in the library?
3810,+1-212-725-9242,16:16:40,normal,there was not any that could be followed.
3811,+1-614-955-8464,17:09:26,normal,Aah bless! How's your arm?
3812,+1-305-987-3939,06:49:39,normal,"I’m also fine, Jamia. We are in intermediate class. So we must choose our career now."
3813,+1-404-249-5280,02:23:26,normal,Ok.ok ok..then..whats ur todays plan
3814,+1-616-817-9824,02:00:51,normal,1's reach home call me.
3815,+1-919-282-1521,16:17:51,fraud,"hello sir this is your hdfc bank manager. your kyc has been expired.so you have to kyc your self, but due to covid setuation we are doing kyc online, pleae tell me your account detail."
3816,+1-312-534-3115,02:48:24,normal,"What do you think of gay marriage, Lucy?"
3817,+1-404-500-4942,15:20:08,normal,"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st ""Ur Lovely Friendship""... good morning dear"
3818,+1-305-341-9348,20:39:33,normal,For my family happiness..
3819,+1-602-964-4050,12:54:51,normal,Ok... C ya...
3820,+1-312-365-6375,14:55:39,normal,Anything lor but toa payoh got place 2 walk meh...
3821,+1-206-657-2268,11:07:50,normal,cThen i thk shd b enuff.. Still got conclusion n contents pg n references.. I'll b doing da contents pg n cover pg..
3822,+1-703-547-3212,13:57:36,normal,Hi juan. Im coming home on fri hey. Of course i expect a welcome party and lots of presents. Ill phone u when i get back. Loads of love nicky x x x x x x x x x
3823,+1-213-290-2539,12:15:17,normal,Dear reached railway. What happen to you.
3824,+1-919-343-7049,15:30:21,normal,Yes..he is really great..bhaji told kallis best cricketer after sachin in world:).very tough to get out.
3825,+1-808-600-1498,17:53:47,normal,Aww that's the first time u said u missed me without asking if I missed u first. You DO love me! :)
3826,+1-206-638-3208,03:35:07,normal,"Al he does is moan at me if n e thin goes wrong its my fault&al de arguments r my fault&fed up of him of himso y bother? Hav 2go, thanx.xx"
3827,+1-213-633-2609,11:03:01,normal,"… we r stayin here an extra week, back next wed. How did we do in the rugby this weekend? Hi to and and , c u soon """
3828,+1-512-568-9388,19:17:18,normal,DO U WANT 2 MEET UP 2MORRO
3829,+1-206-386-8439,09:54:44,normal,Check in your beloved dict
3830,+1-703-524-3599,11:05:24,normal,Oh yeah I forgot. U can only take 2 out shopping at once.
3831,+1-702-509-1410,10:41:39,normal,Lol no. Just trying to make your day a little more interesting
3832,+1-212-384-5496,15:40:03,fraud,You have WON a guaranteed £1000 cash or a £2000 prize. To claim yr prize call our customer service representative on 08714712394 between 10am-7pm
3833,+1-303-592-1578,05:34:47,fraud,Dear Dave this is your final notice to collect your 4* Tenerife Holiday or #5000 CASH award! Call 09061743806 from landline. TCs SAE Box326 CW25WX 150ppm
3834,+1-901-287-7856,10:13:08,normal,"K, makes sense, btw carlos is being difficult so you guys are gonna smoke while I go pick up the second batch and get gas"
3835,+1-415-281-7216,01:06:02,normal,S.i'm watching it in live..
3836,+1-614-779-9083,05:18:48,normal,Tell your friends what you plan to do on Valentines day @ &lt;URL&gt;
3837,+1-512-587-6667,13:42:03,normal,Da my birthdate in certificate is in april but real date is today. But dont publish it. I shall give you a special treat if you keep the secret. Any way thanks for the wishes
3838,+1-415-818-1657,14:36:03,fraud,"WELL DONE! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TCs, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins"
3839,+1-404-696-8843,20:05:50,normal,THANX 4 PUTTIN DA FONE DOWN ON ME!!
3840,+1-703-666-7528,17:50:14,normal,I see a cup of coffee animation.
3841,+1-702-780-3976,21:34:07,normal,It's not the same here. Still looking for a job. How much do you earn there.
3842,+1-512-576-1894,02:04:01,normal,Ya very nice. . .be ready on thursday
3843,+1-901-619-2757,09:53:01,normal,Went to ganesh dress shop
3844,+1-617-377-7034,10:22:43,normal,"I've not called you in a while. This is hoping it was later malaria and that you know that we miss you guys. I miss Bani big, so please give her my love especially. Have a great day."
3845,+1-214-579-4668,16:51:59,normal,"Yo, I'm at my parents' gettin cash. Good news: we picked up a downstem"
3846,+1-305-747-1344,22:47:42,normal,If I die I want u to have all my stuffs.
3847,+1-312-281-2008,00:54:00,normal,"Not actually, I am going to spend this Puja with my family here in Kolkata. I am sure that will be so much fun. You are invited to my house in the Puja. I hope you will come."
3848,+1-212-994-3079,00:30:35,normal,Then cant get da laptop? My matric card wif ü lei...
3849,+1-617-357-8744,17:21:03,normal,Have your lunch and come quickly and open the door:)
3850,+1-214-545-3224,20:33:00,normal,Ha ha - had popped down to the loo when you hello-ed me. Hello!
3851,+1-616-404-7983,01:14:22,normal,"""alright babe, justthought id sayhey! how u doin?nearly the endof me wk offdam nevamind!We will have 2Hook up sn if uwant m8? loveJen x."""
3852,+1-503-603-9444,16:37:38,normal,No we sell it all so we'll have tons if coins. Then sell our coins to someone through paypal. Voila! Money back in life pockets:)
3853,+1-616-940-2304,08:47:20,normal,Noice. Text me when you're here
3854,+1-305-920-2677,21:28:09,normal,"""Hey sorry I didntgive ya a a bellearlier hunny,just been in bedbut mite go 2 thepub l8tr if uwana mt up?loads a luv Jenxxx."""
3855,+1-901-356-7987,06:56:20,normal,Or better still can you catch her and let ask her if she can sell  &lt;#&gt;  for me.
3856,+1-702-845-6240,15:46:18,normal,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy
3857,+1-214-237-7248,19:50:09,normal,HI DARLIN I HOPE YOU HAD A NICE NIGHT I WISH I HAD COME CANT WAIT TO SEE YOU LOVE FRAN PS I WANT DIRTY ANAL SEX AND I WANT A 10 MAN GANG BANG
3858,+1-616-230-2358,16:09:04,normal,"Well, i'm glad you didn't find it totally disagreeable ... Lol"
3859,+1-305-333-8458,09:57:53,normal,Will be office around 4 pm. Now i am going hospital.
3860,+1-212-980-8829,06:18:16,normal,haha but no money leh... Later got to go for tuition... Haha and looking for empty slots for driving lessons
3861,+1-901-735-5763,05:57:14,normal,"Babe, I'm answering you, can't you see me ? Maybe you'd better reboot YM ... I got the photo ... It's great !"
3862,+1-617-637-9851,12:45:16,normal,When did i use soc... I use it only at home... Ü dunno how 2 type it in word ar...
3863,+1-702-389-2903,00:54:44,normal,I want to sent  &lt;#&gt; mesages today. Thats y. Sorry if i hurts
3864,+1-703-637-3793,05:47:05,normal,"Hello! Just got here, st andrews-boy its a long way! Its cold. I will keep you posted."
3865,+1-602-652-3322,07:53:12,normal,Nope but i'm going home now then go pump petrol lor... Like going 2 rain soon...
3866,+1-602-826-6872,19:52:40,normal,HOW ARE U? I HAVE MISSED U! I HAVENT BEEN UP 2 MUCH A BIT BORED WITH THE HOLIDAY WANT 2 GO BAK 2 COLLEGE! SAD ISNT IT?xx
3867,+1-614-533-3718,11:06:40,normal,"How are you, my Love ? Are you with your brother ? Time to talk english with him ? *grins* Say : Hey Muhommad, Penny says hello from across the sea"
3868,+1-303-749-6223,21:20:18,normal,Good Morning plz call me sir
3869,+1-206-432-6291,11:54:48,normal,Yupz... I've oredi booked slots 4 my weekends liao...
3870,+1-808-235-1997,18:50:10,normal,Yes but can we meet in town cos will go to gep and then home. You could text at bus stop. And don't worry we'll have finished by march … ish!
3871,+1-901-397-7515,03:50:32,normal,Yes. Rent is very expensive so its the way we save.
3872,+1-212-679-1576,13:01:28,normal,"If you want to mapquest it or something look up ""usf dogwood drive"", that's the tiny street where the parking lot is"
3873,+1-602-561-3569,14:32:50,normal,OK tell me anything about you.
3874,+1-415-869-5290,01:39:33,normal,Shhhhh nobody is supposed to know!
3875,+1-212-834-6086,23:12:02,normal,"By the way, 'rencontre' is to meet again. Mountains dont...."
3876,+1-214-851-4304,07:31:04,normal,No b4 Thursday
3877,+1-602-206-9665,21:14:00,normal,Ummmmmaah Many many happy returns of the day my dear sweet heart.. HAPPY BIRTHDAY dear
3878,+1-512-756-1649,00:34:06,normal,Appt is at &lt;TIME&gt; am. Not my fault you don't listen. I told you twice
3879,+1-702-559-3088,10:56:17,normal,I didn't get the second half of that message
3880,+1-212-352-7775,20:03:31,normal,Its like that hotel dusk game i think. You solve puzzles in a area thing
3881,+1-206-825-1229,19:51:24,fraud,"hello sir, i am from covid-19 center, those who are vaccinated they will get money by indian goverment please tell me account detail to deposit money in your account."
3882,+1-901-478-2423,18:11:03,normal,"That's the trouble with classes that go well - you're due a dodgey one … Expecting mine tomo! See you for recovery, same time, same place"
3883,+1-614-387-3974,13:40:47,fraud,You are a winner you have been specially selected to receive £1000 cash or a £2000 award. Speak to a live operator to claim call 087147123779am-7pm. Cost 10p
3884,+1-415-431-4293,21:47:06,fraud,UR awarded a City Break and could WIN a £200 Summer Shopping spree every WK. Txt STORE to 88039.SkilGme.TsCs087147403231Winawk!Age16+£1.50perWKsub
3885,+1-206-992-7234,21:23:33,fraud,This msg is for your mobile content order It has been resent as previous attempt failed due to network error Queries to customersqueries@netvision.uk.com
3886,+1-616-319-3331,12:51:39,normal,What will I have to do to get a 4G SIM for the same number?
3887,+1-312-574-8314,07:18:50,normal,This is hoping you enjoyed your game yesterday. Sorry i've not been in touch but please know that you are fondly being those off. Have a great week. Abiola
3888,+1-617-694-1255,11:40:03,fraud,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery
3889,+1-213-689-7566,04:08:42,normal,G.W.R
3890,+1-919-344-7965,19:39:36,fraud,FreeMsg: Claim ur 250 SMS messages-Text OK to 84025 now!Use web2mobile 2 ur mates etc. Join Txt250.com for 1.50p/wk.
3891,+1-919-529-6375,04:29:09,normal,What time should I tell my friend to be around?
3892,+1-404-648-4046,00:31:04,normal,i don't want to talk with u
3893,+1-305-317-1227,21:48:07,normal,"Aight, lemme know what's up"
3894,+1-703-466-3732,15:39:31,normal,"Goodmorning,my grandfather expired..so am on leave today."
3895,+1-312-722-1984,00:55:20,fraud,"Congrats! 2 mobile 3G Videophones R yours. call 09061744553 now! videochat wid ur mates, play java games, Dload polyH music, noline rentl. bx420. ip4. 5we. 150pm"
3896,+1-503-988-6207,05:41:25,normal,Did you show him and wot did he say or could u not c him 4 dust?
3897,+1-703-953-7209,18:02:57,normal,"Haha, my friend tyler literally just asked if you could get him a dubsack"
3898,+1-808-241-7417,20:31:41,fraud,Todays Vodafone numbers ending with 4882 are selected to a receive a £350 award. If your number matches call 09064019014 to receive your £350 award.
3899,+1-614-200-7781,23:47:13,normal,Good. do you think you could send me some pix? I would love to see your top and bottom...
3900,+1-614-729-7584,21:26:49,normal,Si si. I think ill go make those oreo truffles.
3901,+1-503-789-7017,13:19:36,normal,In which place do you want da.
3902,+1-303-308-8117,17:25:29,normal,I am facing battery and software issues.
3903,+1-212-641-6317,02:38:54,fraud,Rock yr chik. Get 100's of filthy films &XXX pics on yr phone now.
3904,+1-303-669-8437,20:47:32,normal,Yo! Howz u? girls never rang after india. L
3905,+1-614-601-1594,05:00:39,fraud,"Hottest pics straight to your phone!! See me getting Wet and Wanting, just for you xx Text PICS to 89555 now! txt costs 150p textoperator g696ga 18 XxX"
3906,+1-616-417-5982,18:50:16,normal,"I can't, I don't have her number!"
3907,+1-614-500-4456,10:39:46,normal,Then u ask darren go n pick u lor... But i oso sian tmr haf 2 meet lect...
3908,+1-614-348-4577,23:56:47,normal,.Please charge my mobile when you get up in morning.
3909,+1-212-970-4450,01:42:50,normal,I wanna watch that movie
3910,+1-404-277-3337,16:00:24,fraud,"you won a lucky draw for shopping on an myntra, provide your bank details for deposit your amount towards logistics charge."
3911,+1-614-531-4669,14:25:22,normal,A guy who gets used but is too dumb to realize it.
3912,+1-212-285-2381,09:02:21,normal,Well boy am I glad G wasted all night at applebees for nothing
3913,+1-512-246-3340,19:08:41,fraud,PRIVATE! Your 2003 Account Statement for <fone no> shows 800 un-redeemed S. I. M. points. Call 08715203656 Identifier Code: 42049 Expires 26/10/04
3914,+1-503-374-9949,10:05:44,normal,Well there's still a bit left if you guys want to tonight
3915,+1-808-986-8048,09:23:15,normal,Thank u. IT BETTER WORK OUT CAUSE I WILL FEEL USED OTHERWISE
3916,+1-312-203-3307,02:21:38,normal,"My mobile number.pls sms ur mail id.convey regards to achan,amma.Rakhesh.Qatar"
3917,+1-901-648-3073,20:22:51,normal,"Lemme know when I can swing by and pick up, I'm free basically any time after 1 all this semester"
3918,+1-614-465-9550,22:30:57,normal,"Motivate Behind every darkness, there is a shining light waiting for you to find it... Behind every best friend, there is always trust and love... BSLVYL"
3919,+1-919-480-1258,04:41:59,normal,Will you do me a favor?
3920,+1-512-670-1551,22:57:51,normal,Wait 2 min..stand at bus stop
3921,+1-512-943-3576,14:05:03,normal,Ok not a problem will get them a taxi. C ing  tomorrow and tuesday. On tuesday think we r all going to the cinema.
3922,+1-702-270-5904,11:49:53,normal,Dont think you need yellow card for uk travel. Ask someone that has gone before. If you do its just  &lt;#&gt; bucks
3923,+1-404-485-3784,18:51:18,normal,"No dice, art class 6 thru 9 :( thanks though. Any idea what time I should come tomorrow?"
3924,+1-312-504-3563,09:50:13,normal,It is uncertain that she will come.
3925,+1-213-992-5190,20:16:31,normal,The basket's gettin full so I might be by tonight
3926,+1-602-455-5101,07:50:35,normal,Finally the match heading towards draw as your prediction.
3927,+1-808-521-4699,16:05:35,normal,"My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!"
3928,+1-702-261-9229,01:02:50,normal,"Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about you?"
3929,+1-602-360-7684,18:35:56,normal,My sister cleared two round in birla soft yesterday.
3930,+1-901-741-6730,01:33:39,normal,I.ll post her out l8r. In class
3931,+1-703-355-2551,07:03:55,normal,"Haha... Sounds crazy, dunno can tahan anot..."
3932,+1-303-883-4413,16:52:16,normal,"Hi , where are you? We're at  and they're not keen to go out i kind of am but feel i shouldn't so can we go out tomo, don't mind do you?"
3933,+1-212-677-4695,07:44:59,normal,Yup no more already... Thanx 4 printing n handing it up.
3934,+1-703-210-4475,11:39:58,fraud,to get 1000 INR voucher please call on 889865556178.
3935,+1-616-330-9282,11:45:42,normal,Can I have a look at your phone?
3936,+1-901-613-9016,10:29:59,normal,Thts god's gift for birds as humans hav some natural gift frm god..
3937,+1-213-434-4662,11:44:45,normal,Am in gobi arts college
3938,+1-305-936-8782,14:47:20,normal,Well I'm going to be an aunty!
3939,+1-512-717-7762,17:15:08,normal,Can do lor...
3940,+1-212-323-9250,21:11:24,normal,HI DARLIN I HOPE YOU HAD A NICE NIGHT I WISH I HAD COME CANT WAIT TO SEE YOU LOVE FRAN PS I WANT DIRTY ANAL SEX AND I WANT A 10 MAN GANG BANG
3941,+1-214-738-3326,12:13:30,normal,Lol nice. I went from a fish to ..water.
3942,+1-214-573-8917,09:56:07,fraud,your ringtone service has changed! 25 Free credits! Go to club4mobiles.com to choose content now! Stop?
3943,+1-206-586-7556,07:31:24,normal,Somebody should go to andros and steal ice
3944,+1-312-999-5618,06:27:46,fraud,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.
3945,+1-213-637-7753,05:49:31,normal,"It‘s reassuring, in this crazy world."
3946,+1-616-467-4635,02:05:42,normal,I see a cup of coffee animation.
3947,+1-305-526-8758,15:09:47,normal,Sure Ankita. I will certainly follow it. You are doing a great job by letting people know about different parts of the world.
3948,+1-617-475-9381,18:11:39,fraud,"Hello sir, i am from hdfc bank."
3949,+1-617-342-2437,22:59:20,normal,Why you Did not come with us.
3950,+1-602-553-8407,11:51:41,normal,"I can't, I don't have her number!"
3951,+1-305-997-7635,19:08:28,normal,these are chairman's instruction that must be followed.
3952,+1-617-405-9654,23:09:15,normal,2mro i am not coming to gym machan. Goodnight.
3953,+1-614-764-7340,13:26:12,fraud,"Hottest pics straight to your phone!! See me getting Wet and Wanting, just for you xx Text PICS to 89555 now! txt costs 150p textoperator g696ga 18 XxX"
3954,+1-305-412-8026,18:46:22,normal,"HELLOGORGEOUS, HOWS U? MY FONE WAS ON CHARGE LST NITW WEN U TEXD ME. HOPEU AD A NICE WKEND AS IM SURE U DID LOOKIN 4WARD 2 C-IN U 2MRW LUV JAZ"
3955,+1-303-714-2114,06:29:29,normal,I'm doing da intro covers energy trends n pros n cons... Brief description of nuclear fusion n oso brief history of iter n jet got abt 7 n half pages..
3956,+1-303-476-5075,13:33:07,normal,Well she's in for a big surprise!
3957,+1-214-353-8961,03:20:44,fraud,Mobile Club: Choose any of the top quality items for your mobile. 7cfca1a
3958,+1-614-690-5108,20:39:23,normal,"Hmmm ... I thought we said 2 hours slave, not 3 ... You are late ... How should I punish you ?"
3959,+1-919-444-4212,20:17:47,normal,Yeah I can still give you a ride
3960,+1-703-811-7108,23:51:23,normal,Why did I wake up on my own &gt;:(
3961,+1-901-221-2890,21:35:13,normal,"Dont search love, let love find U. Thats why its called falling in love, bcoz U dont force yourself, U just fall and U know there is smeone to hold U... BSLVYL"
3962,+1-703-403-3826,11:58:45,normal,I have to take exam with in march 3
3963,+1-212-408-4749,00:25:21,normal,I am sorry it hurt you.
3964,+1-702-462-2349,07:46:27,fraud,"hello sir, i am from sbi bank, sir i have call you for your bank account verification do you want verify your account. sir then tell me your aadhar card number and pan card and your debit/credit card number."
3965,+1-415-649-4859,03:39:41,normal,"Probably, want to pick up more?"
3966,+1-303-671-2785,11:55:54,normal,You are a very very very very bad girl. Or lady.
3967,+1-919-659-4388,22:17:09,normal,"Okay. No no, just shining on. That was meant to be signing, but that sounds better."
3968,+1-213-277-9831,21:03:07,normal,Id onluy matters when getting on from offcampus
3969,+1-616-744-9645,21:20:25,normal,Kallis is ready for bat in 2nd innings
3970,+1-616-212-6063,22:20:00,normal,Some of them told accenture is not confirm. Is it true.
3971,+1-616-520-8566,04:50:09,normal,Lol you won't feel bad when I use her money to take you out to a steak dinner.
3972,+1-703-596-4931,22:42:53,normal,How did you do?
3973,+1-303-520-7886,01:46:14,normal,"As in missionary hook up, doggy hook up, standing...|"
3974,+1-602-279-2293,16:11:17,normal,Ill call you evening ill some ideas.
3975,+1-404-778-6921,01:05:48,fraud,important information 4 orange user 0789xxxxxxx. today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!
3976,+1-213-480-5834,04:54:10,fraud,Congratulations you are awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16
3977,+1-214-964-3376,23:50:34,normal,University of southern california.
3978,+1-404-836-7234,00:48:34,normal,Love you aathi..love u lot..
3979,+1-703-868-1573,02:33:33,fraud,to get free access of Microsoft Azure hit on given message box link.
3980,+1-213-382-9709,10:38:25,normal,"Its ok, if anybody asks abt me, u tel them..:-P"
3981,+1-213-703-2944,09:51:18,normal,have you ever had one foot before?
3982,+1-212-417-2526,20:34:04,normal,I know she called me
3983,+1-602-908-1791,22:30:32,normal,Please sen :)my kind advice :-)please come here and try:-)
3984,+1-919-224-8315,19:25:07,normal,"Nimbomsons. Yep phone knows that one. Obviously, cos thats a real word"
3985,+1-312-779-4482,22:09:16,normal,"A sweet thought: ""Never get tired of doing little things for lovable persons.."" because..somtimes those little things occupy the biggest part in their Hearts.. good night"
3986,+1-602-801-1704,22:25:17,normal,Oh ya ya. I remember da. .
3987,+1-617-457-9598,21:06:59,normal,"Night night, see you tomorrow"
3988,+1-512-823-2986,23:49:13,fraud,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S.I.M. points. Call 08715203685 Identifier Code:4xx26 Expires 13/10/04
3989,+1-616-318-3712,15:55:27,normal,Got it..mail panren paru..
3990,+1-312-567-7969,03:21:18,normal,In work now. Going have in few min.
3991,+1-415-430-2048,04:25:11,normal,Please don't text me anymore. I have nothing else to say.
3992,+1-602-451-5653,18:49:32,normal,Can we’ve two sweet corn soups with some garlic bread and vegetable platter for starters?
3993,+1-214-957-9498,05:26:42,normal,Aww that's the first time u said u missed me without asking if I missed u first. You DO love me! :)
3994,+1-404-529-7916,16:38:13,normal,Auntie huai juan never pick up her phone
3995,+1-919-554-7664,03:08:58,normal,Still otside le..u come 2morrow maga..
3996,+1-703-651-7564,17:32:01,normal,"The house is on the water with a dock, a boat rolled up with a newscaster who dabbles in jazz flute behind the wheel"
3997,+1-404-510-1774,16:35:24,normal,Thank you so much for sharing this information with us.
3998,+1-703-674-1907,13:15:23,normal,Cold. Dont be sad dear
3999,+1-312-732-6494,10:36:11,normal,Then why you not responding
4000,+1-404-679-2413,14:29:45,fraud,"Urgent -call 09066649731from Landline. Your complimentary 4* Ibiza Holiday or £10,000 cash await collection"
4001,+1-808-377-9199,21:36:43,normal,Do u konw waht is rael FRIENDSHIP Im gving yuo an exmpel: Jsut ese tihs msg.. Evrey splleing of tihs msg is wrnog.. Bt sitll yuo can raed it wihtuot ayn mitsake.. GOODNIGHT &amp; HAVE A NICE SLEEP..SWEET DREAMS..
4002,+1-312-878-9649,09:24:11,normal,What’s the price?
4003,+1-901-889-2994,14:41:13,normal,"Sir, hope your day is going smoothly. i really hoped i wont have to bother you about this. I have some bills that i can't settle this month. I am out of all extra cash. I know this is a challenging time for you also but i have to let you know."
4004,+1-614-794-8313,06:23:37,normal,Dont flatter yourself... Tell that man of mine two pints of carlin in ten minutes please....
4005,+1-303-794-6484,16:32:10,normal,Stupid.its not possible
4006,+1-614-384-5867,21:18:01,normal,Yeah get the unlimited
4007,+1-901-751-6591,19:43:08,normal,Sorry me going home first... Daddy come fetch you later.
4008,+1-404-545-8675,17:11:19,normal,"Hmmm ... I thought we said 2 hours slave, not 3 ... You are late ... How should I punish you ?"
4009,+1-212-248-7751,22:59:51,normal,"Come to me, slave. Your doing it again ... Going into your shell and unconsciously avoiding me ... You are making me unhappy :-("
4010,+1-206-405-1912,03:36:01,normal,I dont want to hear anything
4011,+1-602-845-9582,08:02:51,normal,i cant talk to you now.i will call when i can.dont keep calling.
4012,+1-213-315-3102,20:35:10,normal,Lol yes. But it will add some spice to your day.
4013,+1-919-479-2342,07:26:45,normal,Are you staying in town ?
4014,+1-404-508-6086,12:32:26,normal,Ok lor thanx... Ü in school?
4015,+1-303-689-9152,11:41:09,normal,Pls call me da. What happen.
4016,+1-703-890-9067,02:50:15,normal,Any way where are you and what doing.
4017,+1-919-216-5747,13:16:28,normal,"Oh! Shit, I thought that was your trip! Loooooool ... That just makes SO much more sense now ... *grins* and the sofa reference was ... The ""sleep on a couch"" link you sent me ... Wasn't that how you went on your trip ? Oh ... And didn't your babe go with you for that celebration with your rents?"
4018,+1-404-394-6313,08:21:28,normal,We confirm eating at esplanade?
4019,+1-312-639-9252,05:21:23,normal,Pls send me your address sir.
4020,+1-415-355-6864,14:49:13,normal,"Hey... Thk we juz go accordin to wat we discussed yest lor, except no kb on sun... Cos there's nt much lesson to go if we attend kb on sat..."
4021,+1-305-231-1533,09:44:25,normal,You didnt complete your gist oh.
4022,+1-206-943-1727,02:37:00,normal,Anything lor if they all go then i go lor...
4023,+1-214-506-2196,05:18:29,normal,If you are not coughing then its nothing
4024,+1-404-682-3724,15:59:03,fraud,SplashMobile: Choose from 1000s of gr8 tones each wk! This is a subscrition service with weekly tones costing 300p. U have one credit - kick back and ENJOY
4025,+1-303-660-5416,21:24:26,normal,Are you this much buzy
4026,+1-213-922-6159,19:21:39,normal,It was I who telephoned you yesterday.
4027,+1-213-286-5766,16:45:20,normal,No shoot me. I'm in the docs waiting room. :/
4028,+1-303-783-1343,04:39:43,normal,"Sir, i am waiting for your call."
4029,+1-901-813-8739,16:08:35,normal,"It‘s £6 to get in, is that ok?"
4030,+1-616-457-2716,08:12:13,normal,May i call You later Please.
4031,+1-206-277-5297,21:42:39,normal,Have you seen who's back at Holby?!
4032,+1-808-737-6581,23:22:38,normal,IM REALY SOZ IMAT MY MUMS 2NITE WHAT ABOUT 2MORO
4033,+1-312-640-4070,00:32:59,normal,U wan 2 haf lunch i'm in da canteen now.
4034,+1-512-433-3057,19:03:05,normal,"Kate jackson rec center before seven wish, right?"
4035,+1-303-219-2954,20:05:55,normal,Or I guess  &lt;#&gt;  min
4036,+1-206-458-5294,20:38:16,normal,"oK, can I pick up another 8th when you're done?"
4037,+1-303-691-3557,05:19:51,normal,Apple iPhone 6s plus.
4038,+1-303-293-6311,05:46:04,normal,Wat's da model num of ur phone?
4039,+1-214-801-5398,06:35:13,normal,Nope watching tv at home... Not going out. V bored...
4040,+1-212-819-4426,03:55:05,normal,At home also.
4041,+1-415-281-5698,22:56:34,normal,Should i buy him a blackberry bold 2 or torch. Should i buy him new or used. Let me know. Plus are you saying i should buy the  &lt;#&gt; g wifi ipad. And what are you saying about the about the  &lt;#&gt; g?
4042,+1-703-724-8962,08:13:00,normal,Let me know when you've got the money so carlos can make the call
4043,+1-703-673-4340,08:02:42,normal,We'll you pay over like  &lt;#&gt; yrs so its not too difficult
4044,+1-901-934-1322,08:17:26,normal,excellent. I spent  &lt;#&gt;  years in the Air Force. Iraq and afghanistan. I am stable and honest. do you like traveling?
4045,+1-303-363-8487,12:27:53,normal,Hahaha..use your brain dear
4046,+1-303-842-2857,21:50:27,fraud,"URGENT!! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins"
4047,+1-617-271-9890,18:06:04,normal,Can u look 4 me in da lib i got stuff havent finish yet.
4048,+1-616-288-8053,18:26:23,normal,You can never do NOTHING
4049,+1-404-994-3789,09:19:31,normal,That’s so sweet of you.
4050,+1-303-964-1261,01:23:24,normal,"Okay, I will pay 28,500. I feel that this is a good deal."
4051,+1-305-452-6911,12:20:29,normal,Ok.. Ü finishing soon?
4052,+1-213-227-8011,11:13:48,normal,"Got hella gas money, want to go on a grand nature adventure with galileo in a little bit?"
4053,+1-614-906-8977,09:41:33,normal,Host-based IDPS for linux systems.
4054,+1-614-497-6134,23:26:38,normal,"""AH POOR BABY!HOPE URFEELING BETTERSN LUV! PROBTHAT OVERDOSE OF WORK HEY GO CAREFUL SPeaK to you LOTS OF LOVEJEN XXX."""
4055,+1-213-210-7827,04:25:37,normal,"Yeah, probably earlier than that"
4056,+1-616-939-3254,02:30:56,normal,First answer my question.
4057,+1-512-850-5459,18:34:17,normal,Then u going ikea str aft dat?
4058,+1-214-681-5558,04:41:39,fraud,"hello sir, i am from sbi bank, sir i have call you for your bank account verification do you want verify your account. sir then tell me your aadhar card number and pan card and your debit/credit card number."
4059,+1-503-389-9550,23:44:47,normal,"Come to me, slave. Your doing it again ... Going into your shell and unconsciously avoiding me ... You are making me unhappy :-("
4060,+1-602-962-5329,07:48:40,normal,I am facing battery and software issues.
4061,+1-919-363-6848,04:01:22,normal,What's a feathery bowa? Is that something guys have that I don't know about?
4062,+1-617-550-2682,21:31:21,fraud,"URGENT!! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins"
4063,+1-901-881-1349,01:37:39,fraud,"For ur chance to win a £250 wkly shopping spree TXT: SHOP to 80878. T's&C's www.txt-2-shop.com custcare 08715705022, 1x150p/wk"
4064,+1-808-721-9135,20:54:50,normal,Come to my home for one last time i wont do anything. Trust me.
4065,+1-702-595-6553,00:35:55,normal,I will check out what your plan is and get back to you.Put on hold.
4066,+1-919-624-9152,13:15:34,normal,Just hopeing that wasn‘t too pissed up to remember and has gone off to his sisters or something!
